ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
1__8952959__8953352__ENSG00000131686	0.0816	0.0769	0.1658	0.0812	0	0.1051	0.0342	0.0408	0.1636	0.0716	0.139	0.1648	0.0474	0.1161	0.0576	0.0912	0.0559	0.0805	0.1195	0.0623	0.1369	0.1031	0.163	0.0615	0.1118	0.1023	0.1096	0.0612	0.0697	0	0.1037	0.1182	0.0864	0.1426	0.0596	0.0539	0.0542	0	0.085	0.1737
1__9710105__9710596__ENSG00000171608	0.0408	0.0462	0.0622	0.0348	0.1334	0.1351	0.0342	0	0.0613	0	0.0794	0.0412	0.0474	0.1161	0.1152	0.0729	0.0559	0	0	0	0	0.1031	0.0296	0.0461	0.0639	0.1023	0.0877	0.1632	0.1219	0.0797	0.1037	0.0394	0.0864	0	0	0.1257	0.0542	0.0456	0	0.1085
1__9931891__9934860__ENSG00000162441	0.6117	0.7077	0.9327	0.824	0.3813	0.8256	0.3761	0.5102	0.6134	0.7395	0.6753	0.515	0.6956	1.742	0.8835	0.7842	0.6339	1.1469	0.5021	0.6022	0.6846	0.9536	0.7555	0.8765	0.6387	0.8358	0.9426	1.5507	0.8358	0.7488	0.8469	0.8078	0.872	0.8238	0.6262	1.0951	0.687	1.2313	0.5952	0.3908
1__10095461__10105744__ENSG00000130939	0.0816	0	0.1036	0.0348	0	0.06	0.0342	0	0.1022	0.1193	0.1192	0.0824	0	0.1161	0.096	0.0729	0.1119	0.0604	0	0.0623	0	0.1546	0.0444	0.0461	0.1277	0.0682	0.1096	0.0816	0.1045	0.0797	0.0346	0.1182	0.0707	0.0634	0	0.0718	0.1085	0.0304	0.0638	0
1__10149184__10151561__ENSG00000130939	0.0408	0	0	0.0232	0	0	0.0342	0	0	0.0477	0	0.0412	0	0	0	0	0	0	0	0	0.0685	0	0	0.0308	0	0	0	0.0408	0	0.0637	0	0.0394	0.0236	0.0317	0.0596	0	0	0.0304	0.0425	0
1__10440347__10442441__ENSG00000251503	0.0612	0	0	0.058	0	0.03	0	0	0	0.0477	0	0.0206	0.0316	0.0581	0.0576	0	0	0.0402	0	0	0.1027	0.0515	0	0.0308	0.0639	0.1194	0	0.102	0.0522	0.0637	0.0346	0	0.0471	0.0317	0.0596	0.0359	0	0	0	0
1__11016844__11018873__ENSG00000120948	0.0408	0.0154	0.0415	0.0348	0	0	0	0	0	0.0716	0.0397	0.0618	0	0.0194	0.1344	0.0547	0.0932	0	0	0.0415	0.1027	0	0	0	0	0.0341	0.0438	0.0816	0	0.0478	0.0346	0	0.0707	0.0317	0.0596	0.0539	0	0.0456	0	0
1__11073934__11076948__ENSG00000171824	0.0408	0.0154	0.1244	0.1277	0.0381	0.045	0.1026	0	0	0.0716	0.0596	0.0412	0	0.2129	0.0768	0.0365	0.0746	0.0604	0.0956	0	0.0685	0.0515	0.1037	0.0615	0.0319	0.0682	0.0658	0.1224	0.0348	0.0797	0.0519	0.0788	0.0314	0	0.0596	0.1257	0.0362	0.1216	0.0425	0.1303
1__12001401__12002103__ENSG00000116688	0.0408	0.1539	0.0829	0.1161	0.1334	0.1651	0.1197	0.0408	0.0613	0.0954	0.1192	0.2266	0.1265	0.1161	0.2305	0.1824	0.1678	0.2817	0.0717	0.1454	0.2738	0.1031	0.1185	0.1999	0.0639	0.1194	0.1973	0.2653	0.0871	0.1434	0.1901	0.2364	0.1493	0.1267	0.1193	0.2693	0.1627	0.152	0.2551	0.1085
1__13715541__13742157__ENSG00000116731	0.102	0.1692	0.1451	0.1857	0.1716	0.1501	0.0684	0.1837	0.1431	0.2624	0.2979	0.103	0.1897	0.4258	0.096	0.2006	0.2424	0.2817	0.0478	0.4361	0.1711	0.3866	0.237	0.1691	0.1277	0.1706	0.1973	0.0408	0.2264	0.1753	0.2766	0.197	0.2042	0.1584	0.2087	0.2513	0.0904	0.2584	0.2126	0.1954
1__13731000__13742157__ENSG00000116731	0.102	0.2616	0.1036	0.4991	0.1334	0.045	0.0513	0.3469	0.1022	0.1908	0.3575	0.0206	0.2371	0.4452	0.096	0.2918	0.261	0.0604	0.0956	0.4984	0.0685	0.3866	0.1926	0.5535	0.3353	0.1194	0.2192	0.5101	0.209	0.3346	0.2938	0.1182	0.1021	0.1901	0.2982	0.4309	0.452	0.3496	0.3827	0.4125
1__13731000__13749487__ENSG00000116731	0.0408	0.0769	0.1036	0.1393	0.1334	0.1801	0.1026	0.0612	0.1227	0.0477	0.139	0.103	0.1265	0.2903	0.1344	0.0547	0.2424	0.2616	0.0717	0.1246	0.0685	0.1031	0.2074	0.1384	0.1118	0.0682	0.0438	0.1836	0.1741	0	0.2247	0.1576	0.1414	0.1109	0	0.1616	0.1627	0.076	0.1913	0.1303
1__13769118__13773188__ENSG00000116731	0.102	0.0308	0.0415	0.058	0.0572	0.06	0.0342	0	0.0409	0.0954	0.0397	0.0824	0.0316	0.0968	0.096	0.0365	0.0373	0.0604	0.0478	0	0	0.0773	0	0	0.0319	0.1194	0	0.0816	0.0348	0.1434	0	0.1182	0.0393	0.0634	0	0	0.0542	0.0912	0.085	0
1__15534237__15536814__ENSG00000116138	0.1427	0.2154	0.2487	0.2321	0.1716	0.2252	0.0513	0.0816	0.1227	0.1908	0.1589	0.1854	0.1739	0.4645	0.1921	0.1824	0.1492	0.3219	0.2869	0.1661	0.1369	0.1546	0.163	0.2306	0.2395	0.3241	0.3507	0.204	0.1915	0.1593	0.2593	0.4138	0.22	0.1426	0.2385	0.3591	0.1085	0.2128	0.2126	0.2822
1__15536475__15536814__ENSG00000116138	0.0408	0.0308	0.0415	0	0	0.045	0.0684	0	0.0409	0.0716	0	0	0.0474	0.0581	0.0576	0	0.0373	0.0402	0	0	0.0685	0	0	0.0615	0.0639	0.0512	0.0438	0	0	0.0478	0.0173	0.0788	0.0157	0	0.0596	0	0.0362	0.0152	0.0638	0.0651
1__15638307__15643650__ENSG00000197312	0.102	0.3539	0.3109	0.4759	0.2859	0.1051	0.2906	0.1632	0.368	0.4532	0.2781	0.4532	0.4585	0.5807	0.2689	0.2553	0.317	0.3823	0.3108	0.2907	0.1711	0.5928	0.3259	0.0308	0.3353	0.5288	0.1754	0.3877	0.2438	0.3824	0.3803	0.3941	0.3614	0.3169	0.2982	0.5027	0.1808	0.3952	0.3827	0.2605
1__15717893__15721388__ENSG00000116786	0.1631	0.1846	0.2487	0.3018	0.0953	0.2402	0.1367	0.0816	0.2249	0.167	0.2781	0.1442	0.2055	0.3484	0.4225	0.1641	0.2237	0.2213	0.0717	0.2077	0.2396	0.3093	0.3259	0.246	0.2714	0.3241	0.2192	0.3265	0.2612	0.2231	0.3111	0.335	0.1414	0.2376	0.2385	0.395	0.235	0.2584	0.2338	0.2822
1__16201782__16202574__ENSG00000142632	0.0816	0	0.0622	0.0812	0	0.1351	0.0342	0.0612	0	0	0.0794	0.103	0.0632	0.1548	0.0576	0.0547	0.1678	0.0805	0.0478	0	0	0.0773	0.0593	0.0308	0.0319	0.0682	0.0438	0.102	0.0522	0.0478	0.121	0.0591	0.0943	0.0317	0	0	0.0904	0.1216	0.0638	0.0651
1__20749723__20773610__ENSG00000127483	0.0816	0.1692	0.1658	0.2786	0.2288	0.2102	0.0684	0.0816	0	0.2624	0.1986	0.2266	0.079	0.4258	0.3265	0.2371	0.1678	0.2213	0.0956	0.2077	0.2738	0.1804	0.1481	0.1999	0.1277	0.0853	0.1315	0.4081	0.1219	0.1753	0.1037	0.2167	0.2278	0.2218	0.2684	0.2872	0.1989	0.0912	0.1063	0.0868
1__20757166__20773610__ENSG00000127483	0.4486	0.3692	0.3523	0.8821	0.3622	0.3753	0.2906	0.3265	0.4498	1.0734	0.3972	0.4738	0.411	0.7936	0.3841	0.4377	0.2797	0.5231	0.4543	0.5814	0.2396	0.567	0.5629	0.5997	0.5748	0.5629	0.6357	0.5917	0.2612	0.6692	0.5012	0.4335	0.2985	0.4436	0.2982	0.8976	0.5966	0.4408	0.5952	0.5862
1__20765377__20773610__ENSG00000127483	0.0612	0.1539	0.1658	0.1741	0.0953	0.2252	0.0855	0	0.0818	0.1431	0.0794	0	0.1265	0.2323	0.1921	0.1824	0.0559	0.1207	0.0478	0.0831	0.1711	0.2062	0.1185	0.1538	0.1277	0.0682	0.1315	0.2244	0.0522	0.0319	0.242	0.1379	0.0628	0.1743	0.0596	0.2334	0.0362	0.1368	0.0638	0
1__20770930__20773610__ENSG00000127483	0.6729	0.8	0.5596	0.8008	0.7435	1.0508	0.2393	0.2041	0.5112	1.0019	0.8143	0.824	0.7588	1.8	0.8835	0.8571	0.6712	0.7244	0.5977	0.7268	0.5819	0.7217	0.7111	0.8149	0.8463	0.7505	0.8768	1.5099	0.4005	0.6214	1.1753	0.729	0.7227	0.6179	0.5069	1.3465	0.5243	0.6689	0.6378	0.7164
1__21001199__21002808__ENSG00000075151	0.1427	0	0	0.0232	0.0381	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461	0	0	0.0658	0.0204	0	0.0159	0.0346	0.0591	0.0314	0.0317	0	0.018	0.0362	0.0456	0.0638	0
1__21050866__21111383__ENSG00000075151	0.0408	0	0.0622	0.0232	0.0572	0	0.0342	0	0	0	0.0794	0.0412	0.079	0.0194	0.0576	0	0	0.0604	0.0478	0.0208	0	0	0.0296	0.0308	0	0.0341	0.1096	0.0408	0.0348	0	0	0	0.055	0	0	0.0718	0.0362	0.0608	0	0.0434
1__21701498__21703618__ENSG00000090686	0.0612	0.0769	0.0829	0.0929	0.0381	0.1051	0.0342	0.0408	0.0409	0	0.0993	0.1442	0.079	0.1355	0	0.0729	0.0932	0.1207	0.0956	0.0831	0	0.0773	0.0889	0	0.0639	0.0682	0.1315	0.0612	0.0522	0.0797	0.0691	0.1379	0.055	0.0792	0	0.0539	0.0362	0.0608	0.085	0.0434
1__21715389__21721764__ENSG00000090686	0.1631	0.3231	0.2694	0.4062	0.2669	0.2252	0.1026	0.0816	0.1636	0.4532	0.2582	0.103	0.411	0.5032	0.4994	0.2553	0.1119	0.1006	0.1674	0.2907	0.1711	0.4897	0.0889	0.246	0.3513	0.4094	0.2411	0.3061	0.1741	0.239	0.484	0.3547	0.3456	0.1901	0.2982	0.3591	0.3073	0.2736	0.2126	0.2388
1__22078429__22091501__ENSG00000070831	0.0612	0.0308	0.2073	0.1277	0.0191	0.015	0	0	0.0613	0.0716	0	0.0618	0.1107	0.2516	0.0576	0.0729	0.0373	0.1006	0.0717	0.0623	0.1027	0	0.0296	0.0615	0.0479	0	0	0.204	0.0522	0.0159	0.0173	0.0591	0.0236	0.0951	0.0596	0.1436	0	0.076	0.1701	0.1303
1__23030469__23044486__ENSG00000263793	0.0816	0.1539	0.0622	0.0348	0.0763	0.0901	0.0855	0.0204	0.1431	0.0239	0	0.0412	0.0632	0.1548	0.1344	0.0729	0.1678	0.0604	0.0478	0.0415	0.1369	0.0258	0.1037	0.1076	0.1118	0.1365	0.0877	0.0612	0.0871	0.0637	0.0864	0.0788	0.0864	0.0475	0	0.0718	0.0723	0.1368	0.0425	0.0434
1__23030469__23050520__ENSG00000263793	0.7137	0.9539	0.684	1.2883	0.61	1.351	0.4957	0.5714	0.6952	1.4551	0.7945	0.927	0.996	2.342	1.5173	0.8936	1.0814	1.2073	0.7412	1.0175	0.6161	0.9794	0.7999	1.0456	1.1337	0.8699	0.8768	1.5915	0.7836	0.956	1.1408	1.4777	0.8641	0.7921	0.8349	1.6517	0.8497	1.2161	0.7653	1.0421
1__23030469__23059167__ENSG00000263793	0.1223	0.2	0.0829	0.1393	0.0953	0.2402	0.1026	0.0408	0.1227	0.167	0.1589	0.1236	0.1423	0.2516	0.1729	0.2553	0.2051	0.1811	0.0956	0.1038	0.2738	0.232	0.1481	0.0923	0.1916	0.2729	0.2411	0.3061	0.0871	0.1593	0.1901	0.0788	0.1335	0.1584	0.1491	0.3411	0.0723	0.152	0.1913	0.0868
1__23071225__23072197__ENSG00000004487	0.1631	0.1692	0.1036	0.383	0.3241	0.2102	0.1709	0.1224	0.1431	0.1431	0.3575	0.206	0.2213	0.5419	0.4225	0.2918	0.2983	0.2213	0.1195	0.1661	0.2738	0.1804	0.2074	0.2153	0.2714	0.2559	0.2192	0.4489	0.1915	0.1593	0.2247	0.197	0.2435	0.2535	0.2982	0.3231	0.1627	0.3648	0.2764	0.0868
1__23408664__23419139__ENSG00000204219	0.0408	0	0.0415	0.0696	0	0.1051	0.0342	0.0408	0.0818	0.0954	0.0794	0	0	0.1548	0.0768	0	0.0373	0.0402	0	0.1246	0	0	0.0593	0.1384	0.0479	0.0341	0.0877	0.102	0.0348	0	0.0691	0.1182	0.0628	0.0317	0	0.1077	0.0723	0.076	0	0.1303
1__23785675__23786423__ENSG00000057757	0.0612	0	0.0622	0	0	0.03	0	0	0	0.0477	0	0	0	0	0	0.0365	0.0373	0	0	0	0	0.0773	0.0296	0.0308	0	0.0682	0	0.0816	0	0	0	0	0	0	0	0.0359	0	0	0	0.0434
1__24514314__24514567__ENSG00000117602	4.5062	6.0772	4.995	6.5111	3.2598	6.0194	3.1281	3.1425	4.539	6.4168	5.0845	5.0676	4.8691	10.8969	5.9154	5.0514	5.3512	6.7607	3.5387	5.7521	3.7993	5.8248	5.7625	5.5662	6.0996	6.8398	7.5843	10.202	4.6841	5.4012	6.4125	5.9109	6.0645	5.2757	3.3693	8.4378	5.9662	6.8558	4.9745	3.9729
1__24531218__24533254__ENSG00000117602	0.2243	0.1692	0.1244	0.0696	0.1716	0.1951	0.0855	0.102	0	0.2385	0.2383	0.206	0.1897	0.329	0.0768	0.1094	0.1305	0.3018	0.0478	0.1869	0.1027	0.1546	0.0889	0.1538	0.1916	0.1706	0.1754	0.3469	0.1567	0.0797	0.242	0.0394	0.1885	0.1426	0.2087	0.2872	0.1446	0.1976	0.1701	0.1303
1__25227442__25228235__ENSG00000117614	0.0612	0.2	0.1451	0.3482	0.2288	0.2402	0.1709	0.102	0.1636	0.3101	0.2582	0.1648	0.2055	0.329	0.2305	0.3282	0.261	0.2415	0.1913	0.1661	0.1027	0.3608	0.163	0.2306	0.2395	0.2559	0.1754	0.3673	0.1393	0.2071	0.1728	0.197	0.2357	0.0634	0.1193	0.3052	0.1808	0.228	0.1488	0.2605
1__25242374__25243633__ENSG00000117616	0.0816	0.1077	0.0415	0.058	0.0572	0.1201	0.0855	0.0408	0.0613	0.1193	0.0397	0.0824	0.0949	0.1936	0	0.1094	0.0746	0	0.0717	0.1038	0.1027	0.0258	0.1185	0.0461	0.0958	0.1535	0.0877	0.2448	0	0.0637	0.0519	0.0788	0.055	0.0634	0.0596	0.2154	0.0904	0.1216	0.0638	0
1__25242374__25244498__ENSG00000117616	0.0408	0	0.0415	0.0348	0	0.03	0	0	0	0	0	0	0.0316	0.0387	0	0	0	0.0402	0	0	0	0	0	0.0615	0.0479	0	0	0	0.0348	0.0319	0	0	0	0.0475	0	0	0.0362	0	0	0
1__25340474__25343073__ENSG00000183726	0.0612	0	0.0415	0.0232	0	0.06	0	0	0	0.0477	0.139	0	0	0.2129	0.0576	0.0547	0.0746	0.0604	0	0.0623	0	0	0	0	0	0.0853	0.0877	0.0612	0.0697	0	0.0864	0	0.055	0.0317	0	0.0359	0	0.0456	0.0638	0
1__25351626__25356853__ENSG00000183726	0.0612	0.1077	0.0829	0.058	0.0381	0.0751	0.0513	0.0612	0.0409	0.0716	0.0596	0.0412	0.0632	0.2323	0.0576	0.0365	0.1492	0.1811	0.0478	0.0623	0.2396	0.1031	0.0148	0.1076	0.0479	0.1023	0.0658	0.1224	0.0871	0.0478	0.1037	0.0591	0.0157	0.0792	0	0.0898	0.0723	0.076	0.0425	0
1__26446316__26447660__ENSG00000117682	0.1631	0.2923	0.1865	0.2553	0.1716	0.2852	0.1026	0.1632	0.1227	0.167	0.2781	0.2266	0.1581	0.5032	0.2497	0.1094	0.2797	0.3622	0.1435	0.1246	0.1369	0.1804	0.2666	0.3537	0.4311	0.2047	0.3507	0.4489	0.1741	0.2231	0.1901	0.2364	0.2435	0.1426	0.3578	0.3052	0.1446	0.2736	0.1276	0.152
1__26941457__26941818__ENSG00000090273	0.1223	0.0923	0.1865	0.2902	0.0953	0.1651	0.1197	0.102	0.0818	0.2147	0.139	0.1648	0.4426	0.271	0.2881	0.1641	0.1865	0.1408	0.1195	0.2077	0	0.0515	0.163	0.246	0.1916	0.1706	0.2192	0.1428	0.2612	0.1912	0.2247	0.1379	0.2278	0.1426	0	0.0718	0.0904	0.2128	0.1701	0.152
1__26942660__26943065__ENSG00000090273	0.6729	0.7693	0.9534	1.091	0.61	1.0508	0.5299	0.5714	0.4907	0.978	0.7945	0.6386	1.2647	2.0129	1.2484	0.693	0.9136	1.2274	0.6695	1.0175	0.4107	1.0567	1.2444	0.938	0.7505	1.1258	1.0083	1.3875	0.8184	0.94	1.4519	1.2019	1.249	0.9347	0.5963	1.7953	0.9582	1.0489	1.0629	0.9552
1__28035544__28058094__ENSG00000158161	0.102	0.0769	0	0.1393	0.0572	0.1051	0.0513	0.0612	0.0613	0.1431	0.1192	0.0618	0.1107	0.1161	0.1152	0.0547	0.0373	0.0402	0.0717	0.1246	0	0	0.1037	0.0308	0.0798	0.0682	0.0438	0.1428	0.0522	0.0956	0.1037	0.0394	0.0707	0.0634	0	0.2334	0.0904	0.0912	0.0425	0.0868
1__28473554__28476291__ENSG00000204138	0.1835	0.1231	0.2694	0.2669	0.0953	0.3152	0.0513	0.1224	0.0818	0.167	0.1192	0.1854	0.1897	0.1548	0.2689	0.1094	0.0746	0.2012	0.1435	0.2907	0.0685	0.1546	0.0444	0.1384	0.0639	0.29	0.1534	0.1428	0.1741	0.1912	0.1383	0.1773	0.11	0.206	0.1193	0.1975	0.1627	0.3192	0.1701	0.1737
1__28473554__28480604__ENSG00000204138	0.0408	0	0	0.0348	0.0381	0.06	0.0342	0	0.0409	0.0716	0.0794	0.0824	0.1423	0.0968	0.1344	0	0.0559	0.1006	0.0717	0	0	0	0.0444	0.0615	0.0479	0.1365	0.0438	0	0.0348	0.0956	0.1383	0.0985	0.0314	0.1426	0	0.1257	0	0.152	0.1063	0
1__28560633__28561398__ENSG00000180098	0.0612	0.1077	0.1036	0.0812	0.0763	0.06	0.0342	0.0816	0.0409	0.0716	0.0794	0.0412	0.079	0.2516	0.1729	0.1459	0.0746	0.0604	0	0.1038	0.1369	0.1031	0.1333	0.0308	0.0798	0.0682	0	0.1224	0.0697	0.1275	0.121	0.0788	0.11	0.1743	0	0.0898	0.1085	0.1216	0.1063	0.0651
1__28987431__28987905__ENSG00000159023	0.0816	0.0462	0.0207	0.1857	0.2478	0.06	0.2051	0.1428	0.3067	0.3101	0.2185	0.206	0.3004	0.3677	0.4225	0.31	0.2424	0.1408	0.2152	0.2284	0.2396	0.232	0.2666	0.1538	0.0319	0.0171	0.3507	0.3877	0.1741	0.2231	0.0519	0.335	0.0393	0.3327	0.2087	0.3591	0.217	0.0456	0.2976	0.2171
1__28993330__28997319__ENSG00000159023	0.0816	0.0615	0.0829	0.1741	0.0381	0.1801	0	0	0	0.0477	0.0794	0.0824	0.0632	0.1161	0.1729	0.0547	0	0.0805	0.0717	0.0415	0	0.0515	0.0296	0.0615	0.1277	0.0682	0.0877	0.1632	0.0697	0.0478	0.0864	0.0394	0.0707	0.0792	0.0596	0.0718	0.0904	0.0912	0.085	0.0434
1__28993330__29018442__ENSG00000159023	0.0816	0.0615	0	0.1045	0.1144	0.0751	0	0.0408	0.0613	0.167	0.2383	0.0824	0	0.1548	0.0576	0.0547	0.0746	0	0.0956	0.0415	0	0.0773	0.0444	0.0769	0.0479	0.1023	0.0438	0.1224	0.0697	0.0478	0.0519	0.0591	0.0943	0.0634	0	0.2334	0.0723	0.076	0.1063	0.0868
1__29035826__29039426__ENSG00000159023	0.4486	0.4308	0.3523	0.4759	0.2478	0.5104	0.2564	0.2245	0.3067	0.5964	0.2781	0.3296	0.3636	0.7548	0.2881	0.3282	0.3356	0.3823	0.1435	0.4361	0.2738	0.3608	0.2963	0.3844	0.4631	0.3241	0.6138	0.6529	0.296	0.4461	0.5531	0.4729	0.4321	0.2852	0.3578	0.3411	0.1989	0.6385	0.4252	0.3691
1__29035826__29053312__ENSG00000277958	0.0612	0.0923	0.0415	0.0464	0.0572	0.045	0	0.0408	0	0.0716	0.0993	0.0412	0.0632	0.0774	0	0	0.0559	0.1006	0	0	0	0.0773	0.0296	0	0.0479	0.0853	0.1096	0.0816	0.0348	0	0	0	0.0864	0	0	0.0359	0	0.0456	0.0638	0.0434
1__29154696__29154910__ENSG00000116350	0.5301	0.5693	0.3938	0.0464	0.6482	0.6905	0.359	0.5918	0.2658	0.5725	0.0596	0.0618	0.0158	1.1032	0.0768	0.0729	0	0.1408	0.4065	0.5191	0.6503	0.0515	0.0741	0.0615	0.3673	0.0171	0.548	0.1632	0.6617	0.0319	0.0519	0.0591	0.0707	0.0475	0.5367	0.018	0.1085	0.532	0	0.0651
1__30992390__30995220__ENSG00000134644	0.102	0.4	0.2902	0.4062	0.2478	0.4954	0.1367	0.1837	0.1636	0.4055	0.3376	0.3296	0.3478	0.7161	0.4033	0.4559	0.3543	0.3421	0.263	0.2284	0.4107	0.3093	0.3555	0.2306	0.2076	0.2388	0.3507	0.755	0.209	0.239	0.3284	0.5517	0.3064	0.206	0.2385	0.395	0.3254	0.3192	0.2976	0.3691
1__30992390__31007102__ENSG00000134644	0.0408	0.1077	0	0.0929	0	0.0901	0	0	0	0.0716	0.0397	0	0.0632	0.1355	0.0576	0.0547	0	0.1006	0	0.0415	0	0.0515	0.1037	0.0461	0	0	0.0438	0.0612	0.0174	0.0478	0.0346	0	0.0079	0	0.0596	0.1436	0	0.0608	0	0.0651
1__31337175__31339048__ENSG00000121766	0.1223	0.1385	0.0829	0.1857	0.1716	0.1051	0.0342	0.0816	0.1022	0.1431	0.1192	0.2472	0.1423	0.2323	0.1344	0.1459	0	0.0805	0.1195	0.0831	0.1027	0.1031	0.1481	0.0461	0.1916	0.1535	0.2192	0.3469	0.209	0.1912	0.121	0.1379	0.2435	0.1109	0.2087	0.1795	0.1266	0.2888	0.1063	0.0868
