ID	rsID	eqtl_pvalue	gwas_pvalue
1__155676548__155679512__ENSG00000163374	rs12748814	7.24619e-06	0.029005931711
1__155676548__155679512__ENSG00000163374	rs12749306	1.12469e-05	1.45907565933e-07
1__155676548__155679512__ENSG00000163374	rs1325908	2.61202e-06	0.000121770977848
1__155676548__155679512__ENSG00000163374	rs1360554	8.79256e-06	2.45471798641e-06
1__155676548__155679512__ENSG00000163374	rs1475766	0.00839373	0.011567955084
1__155676548__155679512__ENSG00000163374	rs1556488	2.11925e-07	8.55738866628e-06
1__155676548__155679512__ENSG00000163374	rs1611774	0.0275364	2.30267396425e-05
1__155676548__155679512__ENSG00000163374	rs17381047	0.00839373	0.0133897540959
1__155676548__155679512__ENSG00000163374	rs17385065	0.00839373	0.00782401742172
1__155676548__155679512__ENSG00000163374	rs1749405	0.00250195	3.08856576412e-06
1__155676548__155679512__ENSG00000163374	rs1889532	2.8936e-05	1.58270979645e-05
1__155676548__155679512__ENSG00000163374	rs1889533	2.8936e-05	6.23651069471e-05
1__155676548__155679512__ENSG00000163374	rs2016251	2.56472e-05	3.30998265373e-06
1__155676548__155679512__ENSG00000163374	rs2072647	8.21011e-06	9.60149917044e-07
1__155676548__155679512__ENSG00000163374	rs2075566	8.21011e-06	7.28921005048e-08
1__155676548__155679512__ENSG00000163374	rs2175391	2.11925e-07	4.61021163448e-05
1__155676548__155679512__ENSG00000163374	rs2236863	4.52747e-05	1.02963787168e-06
1__155676548__155679512__ENSG00000163374	rs2242576	4.52747e-05	3.77229732155e-07
1__155676548__155679512__ENSG00000163374	rs2282301	2.8936e-05	1.91490251123e-06
1__155676548__155679512__ENSG00000163374	rs2297480	6.73676e-07	1.77435735883e-07
1__155676548__155679512__ENSG00000163374	rs2297649	2.56472e-05	7.85534355782e-06
1__155676548__155679512__ENSG00000163374	rs2297775	1.32955e-05	1.10954495473e-05
1__155676548__155679512__ENSG00000163374	rs2297792	0.00839373	0.0344360749418
1__155676548__155679512__ENSG00000163374	rs2361543	4.52747e-05	7.40002103723e-07
1__155676548__155679512__ENSG00000163374	rs2364403	0.0221214	0.000166550695747
1__155676548__155679512__ENSG00000163374	rs2666826	9.24441e-06	0.000502841830794
1__155676548__155679512__ENSG00000163374	rs2886070	0.00839373	0.00992734371743
1__155676548__155679512__ENSG00000163374	rs2993207	0.00643164	1.81636079737e-05
1__155676548__155679512__ENSG00000163374	rs3020781	6.16478e-06	1.99103817841e-07
1__155676548__155679512__ENSG00000163374	rs34201109	1.70868e-08	0.000934397445277
1__155676548__155679512__ENSG00000163374	rs34228238	1.70868e-08	0.00125424869198
1__155676548__155679512__ENSG00000163374	rs34395206	0.000136156	0.00876730316486
1__155676548__155679512__ENSG00000163374	rs34444588	0.00839373	0.0146540637894
1__155676548__155679512__ENSG00000163374	rs34673835	0.0377936	0.391985370429
1__155676548__155679512__ENSG00000163374	rs35154152	0.0442763	0.00123541307192
1__155676548__155679512__ENSG00000163374	rs35212551	1.70868e-08	0.000817678037883
1__155676548__155679512__ENSG00000163374	rs35615695	8.79256e-06	2.65454758199e-05
1__155676548__155679512__ENSG00000163374	rs35790033	1.16643e-07	0.00968349842101
1__155676548__155679512__ENSG00000163374	rs3738590	2.11925e-07	1.6885762774e-05
1__155676548__155679512__ENSG00000163374	rs3768566	6.21658e-05	8.41302716033e-06
1__155676548__155679512__ENSG00000163374	rs3814318	2.76156e-05	3.37000563065e-07
1__155676548__155679512__ENSG00000163374	rs3814319	0.000533915	1.03207835918e-07
1__155676548__155679512__ENSG00000163374	rs3820594	9.04526e-06	7.21747162069e-06
1__155676548__155679512__ENSG00000163374	rs41264285	0.0196021	1.16963151493e-07
1__155676548__155679512__ENSG00000163374	rs41264915	0.0442763	0.000517091827047
1__155676548__155679512__ENSG00000163374	rs45444697	0.0196021	7.05931359196e-08
1__155676548__155679512__ENSG00000163374	rs45498104	2.6719e-05	0.00314486069113
1__155676548__155679512__ENSG00000163374	rs4620533	2.76156e-05	1.34281735537e-07
1__155676548__155679512__ENSG00000163374	rs4661079	0.00839373	0.0132505841986
1__155676548__155679512__ENSG00000163374	rs4661151	0.0038237	9.87500774906e-06
1__155676548__155679512__ENSG00000163374	rs4661175	0.0038237	5.41171945718e-06
1__155676548__155679512__ENSG00000163374	rs4661218	2.8936e-05	2.79217524154e-05
1__155676548__155679512__ENSG00000163374	rs475550	2.11925e-07	1.30751041666e-05
1__155676548__155679512__ENSG00000163374	rs4845408	0.0454306	0.138624825166
1__155676548__155679512__ENSG00000163374	rs488079	0.0038237	5.88854331082e-06
1__155676548__155679512__ENSG00000163374	rs490498	0.0038237	1.93381691346e-05
1__155676548__155679512__ENSG00000163374	rs4971066	0.0188363	0.0573356803014
1__155676548__155679512__ENSG00000163374	rs5005770	2.11925e-07	1.93900425173e-06
1__155676548__155679512__ENSG00000163374	rs539602	0.0038237	5.51681465134e-06
1__155676548__155679512__ENSG00000163374	rs56675301	2.11925e-07	3.41119929352e-06
1__155676548__155679512__ENSG00000163374	rs58939130	0.0275364	0.000150311932053
1__155676548__155679512__ENSG00000163374	rs625658	0.0038237	7.82121014589e-06
1__155676548__155679512__ENSG00000163374	rs66466805	2.8936e-05	4.25857827748e-06
1__155676548__155679512__ENSG00000163374	rs6657670	9.04526e-06	1.00445568234e-05
1__155676548__155679512__ENSG00000163374	rs6660884	0.0734997	0.807450922769
1__155676548__155679512__ENSG00000163374	rs6670493	2.8936e-05	3.30408760612e-05
1__155676548__155679512__ENSG00000163374	rs6684889	0.000669	1.84815291932e-06
1__155676548__155679512__ENSG00000163374	rs6688636	8.79256e-06	1.78147896534e-06
1__155676548__155679512__ENSG00000163374	rs670523	0.0038237	2.62471613275e-05
1__155676548__155679512__ENSG00000163374	rs67579710	0.0442763	0.00107406341243
1__155676548__155679512__ENSG00000163374	rs71628684	0.000900664	0.0213411764666
1__155676548__155679512__ENSG00000163374	rs71628688	1.16643e-07	0.0135131262349
1__155676548__155679512__ENSG00000163374	rs729022	0.00139316	1.20441183958e-06
1__155676548__155679512__ENSG00000163374	rs734074	8.21011e-06	5.78806408896e-08
1__155676548__155679512__ENSG00000163374	rs7520184	4.52747e-05	2.55420542725e-07
1__155676548__155679512__ENSG00000163374	rs7528441	6.90085e-05	4.80332601292e-06
1__155676548__155679512__ENSG00000163374	rs7534858	2.8936e-05	7.65038652873e-06
1__155676548__155679512__ENSG00000163374	rs7541060	0.000685256	2.57090395761e-06
1__155676548__155679512__ENSG00000163374	rs7549276	4.52747e-05	8.58878411827e-07
1__155676548__155679512__ENSG00000163374	rs7554780	4.52747e-05	2.13481194269e-06
1__155676548__155679512__ENSG00000163374	rs822490	0.000833333	1.82035899223e-06
1__155676548__155679512__ENSG00000163374	rs822505	0.00139316	1.27755675142e-06
1__155676548__155679512__ENSG00000163374	rs822508	0.00139316	1.40814903372e-06
1__155676548__155679512__ENSG00000163374	rs822509	0.00139316	1.167724425e-06
1__155676548__155679512__ENSG00000163374	rs867548	2.8936e-05	1.11059303198e-06
1__155676548__155679512__ENSG00000163374	rs867549	2.8936e-05	1.09862868787e-06
1__155676548__155679512__ENSG00000163374	rs867550	2.8936e-05	1.10069403637e-06
1__155676548__155679512__ENSG00000163374	rs8847	2.76156e-05	1.79784107089e-07
1__155676548__155679512__ENSG00000163374	rs915178	7.66936e-06	0.000561186855378
1__155676548__155679512__ENSG00000163374	rs915181	2.56472e-05	3.07085861412e-06
1__155676548__155679512__ENSG00000163374	rs928596	2.8936e-05	2.41010778311e-05
1__155676548__155679512__ENSG00000163374	rs932972	2.76156e-05	1.77465751811e-07
1__155676548__155679512__ENSG00000163374	rs9628662	6.21658e-05	1.07718797875e-07
